user_id,total_point,mean_point,n_kelas,fast,normal,slow,n_avg_submission,last_enrolled_at,last_class,learner_type_model,rekomendasi
3390,1,0.0555555555555555,18,5,7,6,3.996,2023-07-13 07:48:00,Kotlin Android Developer Expert,Consistent Learner,"Hebat! Perdalam interop Kotlin-Java, coroutines, dan arsitektur aplikasi agar Anda benar-benar mahir membangun aplikasi Android modern."
5774,-1,-0.0833333333333333,12,3,7,2,3.8922222222222222,2023-06-19 19:20:00,Belajar Pemrograman Rust untuk Pemula,Consistent Learner,"Mantap! Fokus pada konsep ownership, borrowing, dan safe concurrency, lalu praktikkan menulis program kecil yang memanfaatkan fitur Rust."
11836,-1,-0.0344827586206896,29,7,16,6,4.308695652173913,2023-11-21 19:32:00,Tes Seleksi BEKUP Create: Upskilling Bootcamp 2025 - Multi-Platform App Developer (Flutter),Consistent Learner,"Tetap percaya diri! Tunjukkan keterampilan praktis Anda pada tes seleksi, dan persiapkan contoh project yang menonjol dari segi fungsionalitas."
15166,-5,-0.5,10,7,1,2,3.62125,2023-10-28 06:43:00,Belajar Machine Learning untuk Pemula,Sonic Learner,Mantap! Selanjutnya gunakan scikit-learn untuk membuat pipeline ML sederhana dan kerjakan proyek klasifikasi atau regresi sebagai latihan end-to-end yang berguna.
15507,3,0.1034482758620689,29,3,20,6,4.035238095238095,2025-04-01 22:48:00,Belajar Dasar Pemrograman JavaScript,Consistent Learner,Bagus! Lanjutkan mempelajari DOM manipulation dan konsep asynchronous seperti Promises dan async/await untuk membuat pengalaman web yang interaktif.
17833,4,0.1666666666666666,24,5,10,9,3.820555555555556,2025-01-29 08:11:00,Belajar Matematika untuk Data Science,Consistent Learner,"Bagus! Perkuat linear algebra, kalkulus dasar, dan probabilitas melalui soal terapan agar Anda lebih siap mengerti algoritma ML secara matematis."
32258,1,0.05,20,6,7,7,3.856,2024-06-06 14:24:00,Belajar Dasar-Dasar Azure Cloud,Consistent Learner,"Bagus! Pelajari VM, storage, dan networking dasar di Azure, lalu coba deploy aplikasi kecil agar paham alur dan biaya layanan."
39414,-4,-0.2105263157894736,19,8,7,4,4.116428571428572,2023-10-04 10:51:00,Belajar Penerapan Machine Learning untuk Flutter,Fast Learner,Bagus! Pelajari plugin integrasi TensorFlow Lite di Flutter dan latihan membuat fitur inferensi sederhana pada aplikasi mobile Anda.
60558,2,0.125,16,3,8,5,4.3127272727272725,2024-07-11 13:16:00,DevOps Praktis dengan IBM Cloud (Practical DevOps with IBM Cloud),Consistent Learner,"Rekomendasi umum: kuatkan materi utama dengan praktik langsung, buat proyek kecil sebagai portofolio, dan gunakan kuis atau simulasi untuk mengukur kemajuan Anda sambil tetap semangat belajar setiap hari."
64678,-1,-0.0476190476190476,21,5,12,4,3.75125,2024-03-12 14:37:00,Belajar Pemrograman Rust untuk Pemula,Consistent Learner,"Mantap! Fokus pada konsep ownership, borrowing, dan safe concurrency, lalu praktikkan menulis program kecil yang memanfaatkan fitur Rust."
71640,-2,-0.08,25,6,15,4,3.745000000000001,2024-04-13 23:41:00,Belajar Membangun Game Multi Platform,Consistent Learner,Keren! Pelajari engine seperti Unity atau Unreal dan praktikkan export ke beberapa platform untuk memahami tantangan lintas platform.
77735,-2,-0.1666666666666666,12,2,10,0,3.7625,2023-08-30 05:15:00,Belajar Dasar Cloud dan Gen AI di AWS,Consistent Learner,"Menarik! Pelajari layanan AWS untuk AI seperti SageMaker dan Bedrock, lalu praktikkan deploy model sederhana agar memahami end-to-end workflow."
82563,-2,-0.1052631578947368,19,6,9,4,3.9806666666666666,2023-07-15 01:43:00,Simulasi Ujian TensorFlow Developer Certificate,Consistent Learner,"Tetap semangat! Gunakan simulasi ini untuk mengukur kesiapan, kerjakan soal-soal praktik, dan implementasikan model menggunakan TensorFlow untuk memperkuat pemahaman."
